"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","09.01.2023 01:00 - 09.01.2023 02:00 (CET/CEST)","0","1642","1299"
"BZN|BE","09.01.2023 02:00 - 09.01.2023 03:00 (CET/CEST)","0","1843","1408"
"BZN|BE","09.01.2023 03:00 - 09.01.2023 04:00 (CET/CEST)","0","1938","1631"
"BZN|BE","09.01.2023 04:00 - 09.01.2023 05:00 (CET/CEST)","0","1964","1829"
"BZN|BE","09.01.2023 05:00 - 09.01.2023 06:00 (CET/CEST)","0","1972","2003"
"BZN|BE","09.01.2023 06:00 - 09.01.2023 07:00 (CET/CEST)","0","2061","2122"
"BZN|BE","09.01.2023 07:00 - 09.01.2023 08:00 (CET/CEST)","0","2059","2103"
"BZN|BE","09.01.2023 08:00 - 09.01.2023 09:00 (CET/CEST)","1","1912","1990"
"BZN|BE","09.01.2023 09:00 - 09.01.2023 10:00 (CET/CEST)","85","1632","1822"
"BZN|BE","09.01.2023 10:00 - 09.01.2023 11:00 (CET/CEST)","248","1505","1609"
"BZN|BE","09.01.2023 11:00 - 09.01.2023 12:00 (CET/CEST)","496","1670","1483"
"BZN|BE","09.01.2023 12:00 - 09.01.2023 13:00 (CET/CEST)","836","1753","1384"
"BZN|BE","09.01.2023 13:00 - 09.01.2023 14:00 (CET/CEST)","783","1891","1268"
"BZN|BE","09.01.2023 14:00 - 09.01.2023 15:00 (CET/CEST)","473","1929","1159"
"BZN|BE","09.01.2023 15:00 - 09.01.2023 16:00 (CET/CEST)","222","2035","1129"
"BZN|BE","09.01.2023 16:00 - 09.01.2023 17:00 (CET/CEST)","38","2148","1050"
"BZN|BE","09.01.2023 17:00 - 09.01.2023 18:00 (CET/CEST)","0","2111","1046"
"BZN|BE","09.01.2023 18:00 - 09.01.2023 19:00 (CET/CEST)","0","2171","1200"
"BZN|BE","09.01.2023 19:00 - 09.01.2023 20:00 (CET/CEST)","0","2162","1290"
"BZN|BE","09.01.2023 20:00 - 09.01.2023 21:00 (CET/CEST)","0","2133","1250"
"BZN|BE","09.01.2023 21:00 - 09.01.2023 22:00 (CET/CEST)","0","1930","1068"
"BZN|BE","09.01.2023 22:00 - 09.01.2023 23:00 (CET/CEST)","0","1950","924"
"BZN|BE","09.01.2023 23:00 - 10.01.2023 00:00 (CET/CEST)","0","2045","1148"
"BZN|BE","10.01.2023 00:00 - 10.01.2023 01:00 (CET/CEST)","0","2067","1316"
"BZN|BE","10.01.2023 01:00 - 10.01.2023 02:00 (CET/CEST)","0","2127","1254"
"BZN|BE","10.01.2023 02:00 - 10.01.2023 03:00 (CET/CEST)","0","2139","1124"
"BZN|BE","10.01.2023 03:00 - 10.01.2023 04:00 (CET/CEST)","0","2006","1041"
"BZN|BE","10.01.2023 04:00 - 10.01.2023 05:00 (CET/CEST)","0","1656","1056"
"BZN|BE","10.01.2023 05:00 - 10.01.2023 06:00 (CET/CEST)","0","952","1107"
"BZN|BE","10.01.2023 06:00 - 10.01.2023 07:00 (CET/CEST)","0","850","1241"
"BZN|BE","10.01.2023 07:00 - 10.01.2023 08:00 (CET/CEST)","0","1187","1285"
"BZN|BE","10.01.2023 08:00 - 10.01.2023 09:00 (CET/CEST)","2","1293","1195"
"BZN|BE","10.01.2023 09:00 - 10.01.2023 10:00 (CET/CEST)","268","1367","1095"
"BZN|BE","10.01.2023 10:00 - 10.01.2023 11:00 (CET/CEST)","554","1637","1085"
"BZN|BE","10.01.2023 11:00 - 10.01.2023 12:00 (CET/CEST)","689","2029","1193"
"BZN|BE","10.01.2023 12:00 - 10.01.2023 13:00 (CET/CEST)","540","2118","1518"
"BZN|BE","10.01.2023 13:00 - 10.01.2023 14:00 (CET/CEST)","387","2171","1850"
